"Scan Name (A):","Site: http://zero.webappsecurity.com/",
"Scan Date (A):","12/30/2019 3:57:58 PM",
"Scan ID (A):","d7d9efaa-1840-490f-bbea-c0ae032525e8",
"Scan Name (B):","Site: http://zero.webappsecurity.com/",
"Scan Date (B):","12/30/2019 3:47:31 PM",
"Scan ID (B):","ef02bcbe-9fe1-4cdb-b79b-5b357f07046c",

"Filtered By:","Comparison Type: Union; Grid Filter: ",


"Link","Path","Method","Vuln Parameter","Parameters","Stack Trace?","Application"
"A","http://zero.webappsecurity.com:80/docs/cluster-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/context.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/host.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/listeners.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/resources.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/html-manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/jasper-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/logging.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/monitoring.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/realm-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/security-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/security-manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/setup.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/ssl-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/virtual-hosting-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-auth-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-auth-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-service-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/WS_FTP.LOG","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/filter.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/monitoring.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/errors/errors.log","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/listeners.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/realm-howto.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/<script>alert('TRACK');</script>","TRACK","","","No",""
"A","http://zero.webappsecurity.com:80/account/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/backup/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/bank/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/cgi-bin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/db/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/error_log/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/errors/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/htbin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/include/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/manager/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/scripts/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/stats/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/testing/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/user/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/ssi-howto.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/README.txt","GET","","","No",""
